x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,Label
218.84038925170898,71.37638568878174,232.01128005981445,83.66105318069458,208.3382225036621,86.5561294555664,235.7392120361328,103.86048316955566,203.82476806640625,105.5108642578125,238.28935623168945,119.4922399520874,204.12195205688477,120.35845756530762,226.9599723815918,122.26315498352051,213.59041213989258,123.35186004638672,226.70021057128906,153.01949501037598,215.9702491760254,153.86528491973877,235.49497604370117,181.4197826385498,226.24628067016602,179.7558832168579,ADL
218.88544082641602,71.43864154815674,231.51485443115234,83.65880012512207,207.8413963317871,86.55599355697632,235.15010833740234,102.9520583152771,203.8357162475586,105.2837061882019,238.25042724609375,118.86064052581787,204.04356002807617,119.33477640151978,228.01982879638672,121.25235557556152,213.63147735595703,122.9139232635498,228.1229591369629,147.43369102478027,216.70377731323242,147.9231834411621,233.50427627563477,171.1424160003662,224.9740982055664,171.34427547454834,ADL
218.8772201538086,71.79847955703735,230.57777404785156,84.16922807693481,207.3662567138672,86.58185005187988,234.27505493164062,102.9010534286499,203.61955642700195,104.9915099143982,237.58968353271484,118.86906623840332,203.0281639099121,119.26190614700317,228.02898406982422,120.80265998840332,213.63367080688477,122.36340522766113,228.28689575195312,146.96585655212402,217.1611213684082,146.93102359771729,232.3167610168457,169.72769737243652,224.46002960205078,170.39272785186768,ADL
218.50431442260742,71.83510065078735,229.68128204345703,84.74515199661255,206.81156158447266,86.5556001663208,233.7525749206543,102.9210877418518,202.84894943237305,104.115149974823,237.0111083984375,118.88331413269043,202.10588455200195,118.62183094024658,227.83790588378906,120.25686264038086,213.15662384033203,121.32601261138916,227.6491928100586,145.53747653961182,216.76361083984375,146.17838859558105,227.1528434753418,168.13565254211426,220.1893424987793,169.7204303741455,ADL
218.21767807006836,71.85986995697021,229.36569213867188,85.0825023651123,206.72006607055664,86.5298581123352,233.3810043334961,102.90797710418701,202.2563362121582,102.820565700531,236.23872756958008,118.90191078186035,201.51765823364258,116.49670600891113,227.7693748474121,120.32494068145752,212.99654006958008,121.18167400360107,227.30985641479492,144.78737354278564,216.48386001586914,145.78763008117676,223.25359344482422,167.06570148468018,218.38090896606445,167.5492000579834,ADL
217.86935806274414,71.33314847946167,229.3629264831543,85.02649068832397,206.67791366577148,86.37580633163452,232.83082962036133,102.5818133354187,202.23613739013672,102.40806341171265,235.24822235107422,118.94404649734497,201.34990692138672,115.99031925201416,227.1597671508789,119.57955121994019,212.73088455200195,119.90528583526611,226.34586334228516,144.12423133850098,215.60087203979492,145.1829957962036,221.00284576416016,165.79729557037354,217.73983001708984,167.3725175857544,ADL
217.5572967529297,70.35583734512329,229.08870697021484,85.01245021820068,206.54050827026367,85.40086269378662,232.17580795288086,102.2601842880249,202.17498779296875,101.73000812530518,234.92761611938477,118.95914554595947,200.99428176879883,114.89762306213379,226.6196060180664,119.0255069732666,212.33184814453125,119.19422149658203,225.23746490478516,144.28908348083496,214.89330291748047,145.0826597213745,219.38465118408203,165.95443725585938,216.6919708251953,168.0490207672119,ADL
217.46150970458984,70.29341697692871,229.21491622924805,84.87984895706177,206.52101516723633,84.96251821517944,232.34249114990234,102.25934743881226,202.06470489501953,101.75444841384888,234.88164901733398,118.96704912185669,200.7706069946289,115.55095195770264,225.7720947265625,118.69550228118896,211.9346046447754,118.5205078125,223.7044334411621,144.2019510269165,214.22433853149414,144.85699653625488,215.79551696777344,166.86769008636475,216.91102981567383,168.45471382141113,ADL
217.4321174621582,70.2030086517334,229.27814483642578,84.6762228012085,206.4230728149414,84.52519655227661,232.49317169189453,102.27554082870483,202.03691482543945,101.87830209732056,235.07501602172852,119.0337610244751,200.6781768798828,115.66685199737549,225.60787200927734,118.73183727264404,211.87131881713867,118.6902666091919,223.41533660888672,144.1560459136963,213.5456085205078,145.09324550628662,215.6600570678711,167.31858730316162,215.89780807495117,167.91604042053223,ADL
217.37844467163086,69.50396060943604,229.35123443603516,84.05096769332886,206.3133430480957,84.24007415771484,232.58098602294922,101.97553396224976,202.0676040649414,101.75236701965332,235.18964767456055,118.9104437828064,200.7594108581543,115.95590114593506,225.58515548706055,118.69030237197876,211.7192840576172,118.71464967727661,223.43948364257812,144.42305088043213,212.9541778564453,145.2498435974121,215.39554595947266,167.73769855499268,215.92227935791016,168.54477882385254,ADL
